"nombre";"localidad";"tipo";"subtipo";"altitud";"nseed.Qp";"nseed.Qi";"nseed.Pi";"nseed";"denQp";"denQi";"denPi";"densed";"replicate"
"31";"A037";"SANJUAN";"ROBLEDAL";"ROBLEDAL";1729;4;NA;NA;4;0.0133333333333333;NA;NA;0.0133333333333333;"R2"
"32";"A038";"SANJUAN";"ROBLEDAL";"ROBLEDAL";1652;NA;NA;NA;0;NA;NA;NA;0;"R2"
"33";"A039";"SANJUAN";"ROBLEDAL";"ROBLEDAL";1583;NA;NA;NA;0;NA;NA;NA;0;"R2"
"34";"A040";"SANJUAN";"ROBLEDAL";"ROBLEDAL";1629;4;NA;NA;4;0.0133333333333333;NA;NA;0.0133333333333333;"R2"
"35";"A041";"SANJUAN";"ROBLEDAL";"ROBLEDAL";1746;NA;NA;NA;0;NA;NA;NA;0;"R2"
"36";"B001";"CANAR";"CLARO_BORDE";"CLARO3";1889;5;3;NA;8;0.0166666666666667;0.01;NA;0.0266666666666667;"R3"
"37";"B002";"CANAR";"CLARO_BORDE";"CLARO3";1873;4;4;NA;8;0.0133333333333333;0.0133333333333333;NA;0.0266666666666667;"R3"
"38";"B003";"CANAR";"CLARO_BORDE";"CLARO3";1874;20;5;NA;25;0.0666666666666667;0.0166666666666667;NA;0.0833333333333333;"R3"
"39";"B004";"CANAR";"CLARO_BORDE";"CLARO1";1802;21;16;NA;37;0.07;0.0533333333333333;NA;0.123333333333333;"R1"
"40";"B005";"CANAR";"CLARO_BORDE";"CLARO1";1800;27;8;NA;35;0.09;0.0266666666666667;NA;0.116666666666667;"R1"
"41";"B006";"CANAR";"CLARO_BORDE";"CLARO1";1835;24;14;NA;38;0.08;0.0466666666666667;NA;0.126666666666667;"R1"
"42";"B008";"CANAR";"CLARO_BORDE";"CLARO2";1847;8;4;NA;12;0.0266666666666667;0.0133333333333333;NA;0.04;"R2"
"43";"B010";"CANAR";"CLARO_BORDE";"CLARO2";1851;8;NA;NA;8;0.0266666666666667;NA;NA;0.0266666666666667;"R2"
"44";"B011";"CANAR";"CLARO_BORDE";"CLARO2";1842;9;1;NA;10;0.03;0.00333333333333333;NA;0.0333333333333333;"R2"
"45";"C001";"SANJUAN";"CLARO_BORDE";"CL1";1621;1;NA;NA;1;0.00333333333333333;NA;NA;0.00333333333333333;"R1"
"46";"C002";"SANJUAN";"CLARO_BORDE";"CL1";1673;1;NA;NA;1;0.00333333333333333;NA;NA;0.00333333333333333;"R1"
"47";"C003";"SANJUAN";"CLARO_BORDE";"CL1";1578;3;NA;NA;3;0.01;NA;NA;0.01;"R1"
"48";"C004";"SANJUAN";"CLARO_BORDE";"CL2";1658;4;NA;NA;4;0.0133333333333333;NA;NA;0.0133333333333333;"R2"
"49";"C006";"SANJUAN";"CLARO_BORDE";"CL2";1641;5;NA;NA;5;0.0166666666666667;NA;NA;0.0166666666666667;"R2"
"50";"C010";"SANJUAN";"CLARO_BORDE";"CL2";1649;3;NA;NA;3;0.01;NA;NA;0.01;"R2"
"51";"P001";"CANAR";"CLARO";"CLARO1";1811;9;6;NA;15;0.03;0.02;NA;0.05;"R1"
"52";"P002";"CANAR";"CLARO";"CLARO1";1805;8;4;NA;12;0.0266666666666667;0.0133333333333333;NA;0.04;"R1"
"53";"P003";"CANAR";"CLARO";"CLARO1";1830;20;17;NA;37;0.0666666666666667;0.0566666666666667;NA;0.123333333333333;"R1"
"54";"P004";"CANAR";"CLARO";"CLARO2";1838;NA;1;NA;1;NA;0.00333333333333333;NA;0.00333333333333333;"R2"
"55";"P005";"CANAR";"CLARO";"CLARO3";1878;9;2;1;12;0.03;0.00666666666666667;0.00333333333333333;0.04;"R3"
"56";"P006";"CANAR";"CLARO";"CLARO3";1874;7;NA;3;10;0.0233333333333333;NA;0.01;0.0333333333333333;"R3"
"57";"P007";"CANAR";"ROBLEDAL";"ROBLEDAL";1793;27;4;NA;31;0.09;0.0133333333333333;NA;0.103333333333333;"R2"
"58";"P008";"CANAR";"CLARO";"CLARO1";1807;8;5;NA;13;0.0266666666666667;0.0166666666666667;NA;0.0433333333333333;"R1"
"59";"P009";"CANAR";"CLARO";"CLARO1";1809;33;9;NA;42;0.11;0.03;NA;0.14;"R1"
"60";"P010";"CANAR";"CLARO";"CLARO1";1798;12;14;NA;26;0.04;0.0466666666666667;NA;0.0866666666666667;"R1"
"61";"P011";"CANAR";"CLARO";"CLARO2";1817;2;NA;NA;2;0.00666666666666667;NA;NA;0.00666666666666667;"R2"
"62";"P012";"CANAR";"CLARO";"CLARO2";1853;9;2;NA;11;0.03;0.00666666666666667;NA;0.0366666666666667;"R2"
"63";"P013";"CANAR";"CLARO";"CLARO2";1804;2;NA;NA;2;0.00666666666666667;NA;NA;0.00666666666666667;"R2"
