id,date,sp,lat,long,d,id_transect,elev,loc,h,w,wr
24227,2012-09-10,Qpy,36.96665,-3.41711,62,P034,1851,CA,15,1504.926,549.692
24230,2012-09-10,Qpy,36.96665,-3.41711,56,P034,1851,CA,15,1227.7440000000001,448.448
24231,2012-09-10,Qpy,36.96665,-3.41711,58,P034,1851,CA,12,1053.6048,481.05199999999996
24237,2012-09-10,Qpy,36.96665,-3.41711,47,P034,1851,CA,9,518.8941000000001,315.887
24278,2012-09-10,Qpy,36.95919,-3.42446,51,P038,1789,CA,14,950.4054,371.943
24225,2012-09-10,Qpy,36.96665,-3.41711,NA,P034,1851,CA,0.17,NA,NA
24229,2012-09-10,Qpy,36.96665,-3.41711,NA,P034,1851,CA,0.25,NA,NA
24232,2012-09-10,Qpy,36.96665,-3.41711,NA,P034,1851,CA,0.43,NA,NA
24233,2012-09-10,Qpy,36.96665,-3.41711,NA,P034,1851,CA,0.22,NA,NA
24235,2012-09-10,Qpy,36.96665,-3.41711,NA,P034,1851,CA,0.2,NA,NA
24236,2012-09-10,Qpy,36.96665,-3.41711,NA,P034,1851,CA,0.35,NA,NA
24238,2012-09-10,Qpy,36.96665,-3.41711,NA,P034,1851,CA,0.3,NA,NA
24292,2012-09-10,Qpy,36.95919,-3.42446,47,P038,1789,CA,12,691.8588000000001,315.887
24308,2012-09-10,Qpy,36.95919,-3.42446,2,P038,1789,CA,1,0.43415200000000004,0.572
24311,2012-09-10,Qpy,36.95919,-3.42446,30,P038,1789,CA,12,281.88,128.7
24312,2012-09-10,Qpy,36.95919,-3.42446,25,P038,1789,CA,8,130.5,89.37499999999999
24336,2012-09-10,Qpy,36.95919,-3.42446,2,P038,1789,CA,1.25,0.56869,0.572
24340,2012-09-10,Qpy,36.96179,-3.42465,3,P033,1843,CA,1.56,0.6097135200000001,1.287
24341,2012-09-10,Qpy,36.96179,-3.42465,6,P033,1843,CA,1.97,0.15807496000000004,5.148
24342,2012-09-10,Qpy,36.96179,-3.42465,4,P033,1843,CA,1.42,0.35734336000000005,2.288
24343,2012-09-10,Qpy,36.96179,-3.42465,38,P033,1843,CA,12,452.2608,206.492
24344,2012-09-10,Qpy,36.96179,-3.42465,18,P033,1843,CA,6,50.7384,46.331999999999994
24345,2012-09-10,Qpy,36.96179,-3.42465,11,P033,1843,CA,5,15.790500000000002,17.302999999999997
24346,2012-09-10,Qpy,36.96179,-3.42465,7,P033,1843,CA,3,0.41308600000000006,7.007
24347,2012-09-10,Qpy,36.96179,-3.42465,49,P033,1843,CA,13,814.6593000000001,343.34299999999996
24349,2012-09-10,Qpy,36.96179,-3.42465,7,P033,1843,CA,3.5,0.6942670000000001,7.007
24351,2012-09-10,Qpy,36.96179,-3.42465,NA,P033,1843,CA,1.1,NA,NA
24352,2012-09-10,Qpy,36.96179,-3.42465,NA,P033,1843,CA,1.56,NA,NA
24353,2012-09-10,Qpy,36.96179,-3.42465,14,P033,1843,CA,5.5,28.135800000000003,28.028
24354,2012-09-10,Qpy,36.96179,-3.42465,17,P033,1843,CA,6,45.257400000000004,41.327
24355,2012-09-10,Qpy,36.96179,-3.42465,10,P033,1843,CA,4.5,11.745000000000001,14.299999999999999
24356,2012-09-10,Qpy,36.96179,-3.42465,20,P033,1843,CA,7,73.08000000000001,57.199999999999996
24357,2012-09-10,Qpy,36.96179,-3.42465,NA,P033,1843,CA,1.66,NA,NA
24294,2012-09-10,Qpy,36.95919,-3.42446,NA,P038,1789,CA,0.48,NA,NA
24359,2012-09-10,Qpy,36.96179,-3.42465,32,P033,1843,CA,11,293.9904,146.432
24360,2012-09-10,Qpy,36.96179,-3.42465,33,P033,1843,CA,12,341.07480000000004,155.72699999999998
24361,2012-09-10,Qpy,36.96179,-3.42465,8,P033,1843,CA,3,5.0112000000000005,9.152
24362,2012-09-10,Qpy,36.96179,-3.42465,8,P033,1843,CA,3.5,5.8464,9.152
24363,2012-09-10,Qpy,36.96179,-3.42465,6,P033,1843,CA,2,0.1747360000000001,5.148
24364,2012-09-10,Qpy,36.96179,-3.42465,8,P033,1843,CA,4,6.6816,9.152
24366,2012-09-10,Qpy,36.96179,-3.42465,15,P033,1843,CA,6.5,38.17125,32.175
