"INDICATIVO";"A.O";"MES";"NOMBRE";"ALTITUD";"C_X";"C_Y";"NOM_PROV";"T_MAX";"D1MAX";"D2MAX";"T_MIN";"D1MIN";"D2MIN";"TM_MAX";"TM_MIN";"TM_MES"
"2468D";2000;9;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";NA;NA;NA;15;20;21;NA;66;NA
"2468D";2000;10;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";245;4;NA;10;7;NA;156;60;109
"2468D";2000;11;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";170;28;NA;-30;15;NA;85;25;55
"2468D";2001;1;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";155;8;23;-65;30;NA;91;-15;NA
"2468D";2001;2;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";160;12;NA;-85;26;NA;97;-28;NA
"2468D";2001;3;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";NA;NA;NA;-50;1;NA;NA;15;NA
"2468D";2001;5;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";325;31;NA;-45;7;NA;199;40;NA
"2468D";2001;7;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";345;1;31;25;20;NA;278;78;NA
"2468D";2001;8;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";345;23;26;50;17;20;291;99;NA
"2468D";2001;11;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";NA;NA;NA;-95;15;NA;NA;-51;NA
"2468D";2002;2;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";170;13;NA;-95;18;NA;106;-48;NA
"2468D";2002;4;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";NA;NA;NA;-65;12;NA;NA;-13;NA
"2468D";2002;7;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";350;28;NA;10;16;NA;281;64;NA
"2468D";2002;9;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";270;1;99;NA;NA;NA;222;NA;NA
"2468D";2002;10;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";210;28;29;NA;NA;NA;165;NA;NA
"2468D";2003;2;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";100;11;NA;-115;17;NA;64;-36;NA
"2468D";2003;6;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";330;22;NA;90;5;NA;283;129;NA
"2468D";2003;7;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";350;13;NA;80;17;NA;290;131;NA
"2468D";2003;9;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";275;14;99;45;10;NA;239;104;NA
"2468D";2003;10;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";NA;NA;NA;-10;24;NA;NA;63;NA
"2468D";2004;2;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";180;4;NA;-55;19;NA;101;-3;NA
"2468D";2004;3;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";180;21;NA;-110;2;NA;100;-3;NA
"2468D";2004;6;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";340;27;30;60;3;NA;272;120;NA
"2468D";2004;7;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";NA;NA;NA;65;9;NA;NA;123;NA
"2468D";2004;8;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";330;15;NA;100;13;23;268;124;NA
"2468D";2004;9;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";275;1;99;35;27;NA;252;95;NA
"2468D";2004;11;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";145;3;7;-50;15;16;100;2;NA
"2468D";2005;2;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";130;13;NA;-120;28;NA;43;-46;NA
"2468D";2005;4;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";NA;NA;NA;-30;11;NA;NA;38;NA
"2468D";2005;5;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";300;25;26;NA;NA;NA;213;NA;NA
"2468D";2005;6;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";330;22;NA;95;7;15;285;134;NA
"2468D";2005;8;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";365;7;NA;50;22;NA;290;125;NA
"2468D";2005;9;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";310;4;NA;15;19;NA;240;83;NA
"2468D";2005;11;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";175;2;NA;-20;28;NA;98;17;NA
"2468D";2006;1;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";NA;NA;NA;-80;30;NA;NA;-21;NA
"2468D";2006;2;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";140;13;NA;-90;28;NA;76;-25;NA
"2468D";2006;3;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";185;30;NA;-100;1;2;124;20;NA
"2468D";2006;5;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";305;17;NA;20;2;31;219;82;NA
"2468D";2006;6;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";NA;NA;NA;40;1;NA;NA;130;NA
"2468D";2006;8;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";315;31;NA;60;14;NA;275;108;NA
"2468D";2006;9;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";NA;NA;NA;60;18;NA;NA;118;NA
"2468D";2006;11;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";195;1;2;10;17;20;136;55;NA
"2468D";2007;1;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";155;14;21;-120;29;NA;84;-13;NA
"2468D";2007;2;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";155;18;NA;-20;2;NA;103;10;NA
"2468D";2007;3;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";NA;NA;NA;-35;22;23;NA;6;NA
"2468D";2007;5;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";255;20;NA;20;2;NA;179;66;NA
"2468D";2007;7;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";320;26;99;60;10;NA;272;115;NA
"2468D";2007;8;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";NA;NA;NA;40;22;31;NA;106;NA
"2468D";2007;9;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";285;6;NA;NA;NA;NA;240;NA;NA
"2468D";2007;11;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";175;4;NA;-75;16;NA;114;-7;NA
"2468D";2008;1;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";145;20;NA;-50;2;NA;99;10;NA
"2468D";2008;6;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";305;21;99;55;6;99;229;102;166
"2468D";2008;7;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";325;19;NA;65;6;99;277;117;198
"2468D";2008;11;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";160;10;NA;-55;27;28;77;-1;38
"2468D";2008;12;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";160;22;NA;-55;26;NA;72;-10;31
"3183E";1980;1;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";200;NA;NA;-70;12;NA;108;-30;39
"3183E";1980;2;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";210;5;NA;-40;NA;NA;142;-8;67
"3183E";1980;3;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";190;19;NA;-40;NA;NA;138;0;69
"3183E";1980;4;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";240;2;NA;-20;NA;NA;154;15;84
"3183E";1980;5;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";250;4;NA;-10;21;NA;203;31;117
"3183E";1980;6;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";320;16;NA;10;18;NA;252;40;146
"3183E";1980;9;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";360;5;NA;80;24;NA;309;126;218
"3183E";1980;10;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";320;3;NA;30;NA;NA;215;63;139
"3183E";1980;11;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";200;14;NA;-30;NA;NA;134;-5;64
"3183E";1980;12;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";150;NA;NA;-60;3;NA;111;-23;44
"3183E";1981;1;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";210;25;NA;-90;31;NA;140;-34;53
"3183E";1981;7;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";370;15;NA;40;31;NA;314;110;212
"3183E";1981;8;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";370;2;NA;100;NA;NA;307;131;219
"3183E";1981;9;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";300;NA;NA;30;NA;NA;243;87;165
"3183E";1981;11;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";220;NA;NA;-20;NA;NA;201;18;110
"3183E";1981;12;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";200;3;NA;-60;12;NA;123;30;76
"3183E";1982;1;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";140;NA;NA;-30;NA;NA;111;21;66
"3183E";1982;2;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";220;21;NA;-20;5;NA;130;42;86
"3183E";1982;3;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";150;15;NA;-30;NA;NA;120;6;63
"3183E";1982;5;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";220;NA;NA;-30;5;NA;159;35;97
"3183E";1982;6;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";420;11;NA;50;1;NA;279;131;205
"3183E";1982;7;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";240;23;NA;20;17;NA;139;57;98
"3183E";1982;10;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";310;2;NA;20;NA;NA;156;59;108
"3183E";1982;11;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";180;10;NA;-50;28;NA;122;32;77
"3183E";1982;12;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";130;16;NA;-20;NA;NA;99;2;50
"3183E";1983;3;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";220;8;NA;-20;22;NA;125;27;76
"3183E";1983;4;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";240;3;NA;-20;18;NA;122;18;70
"3183E";1983;5;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";210;27;NA;-10;NA;NA;138;26;82
"3183E";1983;6;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";380;16;NA;70;3;NA;316;150;233
"3183E";1983;7;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";370;NA;NA;100;22;NA;321;145;233
"3183E";1983;8;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";310;1;NA;80;17;NA;236;112;174
"3183E";1983;9;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";360;25;NA;80;15;NA;303;114;208
"3183E";1983;12;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";240;NA;NA;-30;3;NA;178;63;120
"3183E";1984;1;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";160;29;NA;-40;NA;NA;112;3;58
"3183E";1984;2;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";150;8;NA;-50;NA;NA;114;-10;52
"3183E";1984;3;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";150;15;NA;-50;NA;NA;118;-9;54
"3183E";1984;4;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";170;NA;NA;10;1;NA;142;45;94
"3183E";1984;5;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";210;22;NA;10;NA;NA;134;31;82
"3183E";1984;6;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";320;25;NA;50;NA;NA;232;112;172
"3183E";1984;7;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";380;18;NA;110;NA;NA;329;144;236
"3183E";1984;8;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";350;NA;NA;50;6;NA;298;113;206
"3183E";1984;9;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";340;1;NA;30;24;NA;218;99;158
"3183E";1984;10;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";270;17;NA;0;19;NA;206;54;130
"3183E";1984;11;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";220;22;NA;-20;29;NA;145;60;102
"3183E";1984;12;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";160;NA;NA;-50;13;NA;120;15;68
"3183E";1985;1;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";160;1;NA;-80;NA;NA;83;-27;28
"3183E";1985;2;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";190;2;NA;-40;24;NA;130;43;86
"3183E";1985;3;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";150;NA;NA;-40;29;NA;124;16;70
"3183E";1985;4;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";250;NA;NA;30;20;NA;160;61;110
"3183E";1985;5;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";240;NA;NA;10;NA;NA;198;45;122
"3183E";1985;6;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";330;NA;NA;20;5;NA;283;59;171
"3183E";1985;7;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";360;15;NA;50;NA;NA;311;116;214
"3183E";1985;8;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";350;NA;NA;60;23;NA;297;118;208
"3183E";1985;9;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";340;13;NA;90;18;NA;292;131;212
"3183E";1985;10;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";250;14;NA;20;NA;NA;206;48;127
"3183E";1985;11;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";190;NA;NA;20;10;NA;148;67;108
"3183E";1985;12;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";190;NA;NA;-40;NA;NA;120;-2;59
"3183E";1986;1;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";130;12;99;-40;14;99;102;-12;45
"3183E";1986;2;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";90;2;22;-60;7;8;56;-4;26
"3183E";1986;3;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";230;24;NA;-30;26;NA;130;23;77
"3183E";1986;4;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";200;1;NA;-10;2;99;123;18;70
"3183E";1986;5;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";290;14;NA;30;4;99;215;58;136
"3183E";1986;6;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";330;20;NA;90;2;NA;283;119;201
"3183E";1986;7;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";360;29;NA;100;1;99;299;145;222
"3183E";1986;8;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";360;9;NA;60;29;NA;299;115;207
"3183E";1986;9;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";320;5;7;90;24;NA;248;134;191
"3183E";1986;10;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";260;14;NA;20;24;27;211;85;148
"3183E";1986;11;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";200;5;NA;-20;18;NA;144;14;79
"3183E";1986;12;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";160;19;99;-40;12;NA;140;4;72
"3183E";1987;1;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";160;3;NA;-60;15;NA;101;-7;47
"3183E";1987;2;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";130;4;99;-40;21;NA;112;-8;52
"3183E";1987;3;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";200;5;11;-30;22;NA;165;15;90
"3183E";1987;4;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";270;26;28;-10;6;NA;183;47;115
"3183E";1987;5;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";290;31;NA;0;5;NA;244;93;168
"3183E";1987;6;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";330;22;99;130;2;99;298;167;232
"3183E";1987;7;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";330;28;NA;50;2;9;248;127;188
"3183E";1987;8;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";380;3;12;80;26;27;315;149;232
"3183E";1987;9;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";290;19;21;60;7;NA;241;110;176
"3183E";1987;10;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";280;11;NA;10;30;NA;210;44;127
"3183E";1987;11;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";160;3;99;-30;21;22;129;1;65
"3183E";1987;12;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";160;7;99;-30;11;99;131;-10;60
"3183E";1988;1;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";150;1;99;-40;10;99;119;-4;57
"3183E";1988;2;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";160;29;NA;-40;25;26;124;-15;55
"3183E";1988;3;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";200;8;26;-20;20;NA;152;17;84
"3183E";1988;4;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";180;8;99;-30;25;NA;150;12;81
"3183E";1988;5;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";210;27;30;-20;4;5;168;41;104
"3183E";1988;6;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";280;25;NA;70;1;12;213;109;161
"3183E";1988;7;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";390;25;26;70;3;NA;258;127;192
"3183E";1988;8;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";340;1;99;70;22;NA;312;109;210
"3183E";1988;9;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";310;18;99;80;3;NA;277;129;203
"3183E";1988;10;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";300;5;NA;40;25;NA;235;70;153
"3183E";1988;11;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";150;7;99;-40;14;NA;117;-17;50
"3183E";1988;12;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";130;7;31;-40;10;NA;104;-15;45
"3183E";1989;1;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";130;13;99;-40;21;NA;109;-8;51
"3183E";1989;2;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";160;18;99;-30;24;26;128;4;66
"3183E";1989;3;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";170;7;NA;-30;24;NA;137;1;69
"3183E";1989;4;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";190;29;NA;-10;24;NA;144;27;85
"3183E";1989;5;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";270;3;99;70;14;99;232;98;165
"3183E";1989;6;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";360;28;30;130;4;NA;291;176;233
"3183E";1989;7;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";330;26;27;60;15;NA;283;101;192
"3183E";1989;8;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";340;10;NA;60;31;NA;297;108;202
"3183E";1989;9;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";350;2;NA;100;28;NA;288;144;216
"3183E";1989;10;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";280;1;3;40;9;10;209;83;146
"3183E";1989;11;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";220;2;NA;20;4;NA;131;70;101
"3183E";1989;12;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";140;14;NA;-10;24;NA;96;59;77
"3183E";1990;1;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";120;1;99;-40;9;10;100;5;53
"3183E";1990;2;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";210;28;NA;30;12;NA;136;59;97
"3183E";1990;3;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";230;22;NA;-30;27;NA;155;35;95
"3183E";1990;4;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";200;1;NA;-10;21;NA;138;44;91
"3183E";1990;5;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";270;31;NA;60;4;5;206;82;144
"3183E";1990;6;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";320;25;26;90;12;99;269;120;195
"3183E";1990;7;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";360;20;21;100;29;NA;317;149;233
"3183E";1990;8;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";330;13;NA;120;4;NA;293;149;221
"3183E";1990;9;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";330;7;NA;100;1;99;259;127;193
"3183E";1990;10;"SOTO DEL REAL (PRADO HERRERO)";940;431122;4511095;"MADRID";240;2;3;30;9;NA;171;82;126
