"INDICATIVO";"A.O";"MES";"NOMBRE";"ALTITUD";"C_X";"C_Y";"NOM_PROV";"T_MAX";"D1MAX";"D2MAX";"T_MIN";"D1MIN";"D2MIN";"TM_MAX";"TM_MIN";"TM_MES"
"2468D";1998;1;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";155;9;NA;-40;27;NA;85;16;51
"2468D";1998;2;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";200;14;NA;-20;25;NA;128;22;75
"2468D";1998;3;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";210;27;NA;-35;14;NA;156;32;94
"2468D";1998;4;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";225;25;26;-20;11;99;124;25;74
"2468D";1998;5;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";230;18;NA;5;6;NA;168;67;118
"2468D";1998;6;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";325;30;NA;15;12;NA;249;106;178
"2468D";1998;7;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";341;18;NA;75;2;8;292;131;212
"2468D";1998;8;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";355;11;NA;45;3;NA;296;138;217
"2468D";1998;9;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";315;1;NA;45;11;NA;235;102;169
"2468D";1998;10;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";215;15;99;0;20;NA;159;44;101
"2468D";1998;11;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";180;1;NA;-65;22;NA;106;5;56
"2468D";1998;12;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";170;20;NA;-70;23;NA;86;-23;31
"2468D";1999;1;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";185;6;NA;-115;12;13;76;-30;23
"2468D";1999;2;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";135;20;21;-120;1;NA;76;-40;18
"2468D";1999;3;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";185;24;NA;-40;20;23;114;-1;56
"2468D";1999;4;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";225;6;7;-40;19;NA;151;16;84
"2468D";1999;5;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";270;26;NA;15;19;NA;194;64;130
"2468D";1999;6;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";305;23;NA;20;6;NA;251;86;169
"2468D";1999;7;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";345;1;17;75;6;NA;304;120;212
"2468D";1999;8;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";350;24;NA;75;18;NA;286;109;198
"2468D";1999;9;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";290;11;12;40;15;NA;229;88;160
"2468D";1999;10;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";220;1;2;-15;4;NA;165;52;109
"2468D";1999;11;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";205;1;NA;-65;23;99;82;-21;31
"2468D";1999;12;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";130;2;NA;-85;30;NA;82;-22;30
"2468D";2000;1;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";130;30;NA;-95;25;NA;69;-49;10
"2468D";2000;2;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";175;26;NA;-35;21;NA;126;-7;59
"2468D";2000;3;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";215;12;NA;-60;29;NA;138;-8;NA
"2468D";2000;5;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";275;31;NA;-5;2;NA;201;63;NA
"2468D";2000;8;"EMBALSE DEL PONTON ALTO";1180;407655;4523256;"SEGOVIA";340;10;99;NA;NA;NA;291;NA;NA
